,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
61,svchost.exe,2948,409,2031250,1012,38674,828,5380,2.20345E+12,23196,8,5029888,2948,22,171,25,175,0,1093750,2.20344E+12,6400,4912,282,10256,7,23564288,1225,2518012,1,1,0
62,svchost.exe,2988,548,120625000,123040,4040738,828,57168,2.20363E+12,81632,8,36032512,2988,31,332,33,375,0,249843750,2.20359E+12,214713,35188,110755,453874145,30,49139712,30281,153043356,1,1,0
63,svchost.exe,3008,102,0,1858,160886,828,1512,2.20339E+12,5604,8,1323008,3008,8,57,8,57,0,156250,2.20339E+12,1755,1292,0,0,3,5668864,0,0,1,1,0
64,vm3dservice.exe,2348,117,0,57,70,2904,1632,2.20342E+12,6804,13,1622016,2348,9,123,9,125,1,0,2.20342E+12,1937,1584,0,0,3,6959104,0,0,1,1,0
65,svchost.exe,3252,381,156250,375,19664,828,3648,2.20342E+12,12956,8,3416064,3252,24,119,25,120,0,312500,2.20342E+12,3851,3336,2,232,12,11907072,2,320,1,1,0
66,WmiPrvSE.exe,3488,397,34062500,35673,1284146,956,13628,2.20343E+12,23860,8,13955072,3488,20,125,22,130,0,16718750,2.20343E+12,39507,13628,2567,1859856,12,24420352,2761,536152,0,0,0
67,dllhost.exe,3608,258,1093750,247,4828,828,4284,2.20342E+12,14084,8,4001792,3608,15,103,16,105,0,1406250,2.20341E+12,3815,3908,4145,2088517,12,13791232,11,3945,1,0,0
68,svchost.exe,3828,132,468750,68,2168,828,1540,2.20339E+12,6404,8,1368064,3828,8,66,9,67,0,0,2.20339E+12,1780,1336,0,0,2,6504448,0,0,1,1,0
69,dasHost.exe,3948,359,781250,860,84281,3828,3832,2.20341E+12,12780,8,3452928,3948,18,101,21,106,0,625000,2.2034E+12,3791,3372,0,0,5,12607488,0,0,0,0,0
70,svchost.exe,1612,230,781250,1068,40296,828,2360,2.2034E+12,7740,8,2166784,1612,15,78,18,79,0,468750,2.2034E+12,2094,2116,0,0,8,7778304,0,0,1,1,0
71,msdtc.exe,3808,225,1093750,219,3386,828,3556,2.20341E+12,11300,8,2830336,3808,14,89,14,89,0,156250,2.2034E+12,3222,2764,1,116,10,9793536,5,1802400,0,1,0
72,svchost.exe,4512,290,1562500,806,82081,828,4568,2.20344E+12,20744,8,4149248,4512,17,144,22,146,0,625000,2.20343E+12,5771,4052,0,0,6,20705280,0,0,1,1,0
73,svchost.exe,4580,951,190468750,115646,3640034,828,111264,2.20378E+12,135012,8,75153408,4580,89,370,212,460,0,354843750,2.20374E+12,2019282,73392,21277,321031401,17,96391168,16496,176332502,1,1,0
74,svchost.exe,4660,301,7812500,5941,222162,828,3972,2.20345E+12,21652,8,3670016,4660,15,173,16,180,0,8593750,2.20344E+12,11614,3584,0,0,5,21938176,0,0,1,1,0
75,WmiPrvSE.exe,4708,662,10468750,16722,6811802,956,30716,2.20362E+12,100988,8,27541504,4708,21,169,28,452,0,8593750,2.20347E+12,67767,26896,72,4384364,12,37072896,5,428,0,0,0
76,sihost.exe,3528,606,29218750,10863,780224,1476,7236,2.20351E+12,30204,8,6934528,3528,20,285,22,299,1,27656250,2.2035E+12,9241,6772,175,716800,11,30715904,0,0,0,1,0
77,svchost.exe,4336,295,1250000,495,9530,828,4672,2.20344E+12,17272,8,4399104,4336,15,166,17,168,1,2812500,2.20344E+12,5266,4296,39,104385,5,17428480,905,1855470,1,1,0
78,svchost.exe,4316,546,5937500,1178,41837,828,9660,2.20354E+12,38776,8,9080832,4316,26,363,29,366,1,10000000,2.20354E+12,17207,8868,172,700516,7,39550976,4476,9432328,1,1,0
79,taskhostw.exe,2608,319,4531250,4567,52250,1276,7564,2.20349E+12,18540,8,7409664,2608,35,185,39,191,1,2968750,2.20349E+12,13677,7236,67,4637216,8,18792448,521,13981674,1,1,0
80,svchost.exe,1500,167,156250,125,4276,828,1996,2.2034E+12,8364,8,1859584,1500,10,73,11,74,0,156250,2.20339E+12,2504,1816,264,5392,4,8458240,0,0,1,1,0
