Last Modified,Last Update,Path,File Size,Exec Flag
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.220.1024.0005\Microsoft.SharePoint.exe,N/A,N/A
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.220.1024.0005\FileSyncConfig.exe,N/A,N/A
01/15/22 07:12:43,N/A,C:\Program Files (x86)\Microsoft OneDrive\Update\OneDriveSetup.exe,N/A,N/A
01/15/22 08:56:08,N/A,C:\Users\nuri_\AppData\Local\Microsoft\Teams\Update.exe,N/A,N/A
01/15/22 08:56:09,N/A,C:\Users\nuri_\AppData\Local\Microsoft\Teams\current\Teams.exe,N/A,N/A
01/14/22 07:12:29,N/A,C:\Users\nuri_\AppData\Local\Microsoft\Teams\current\Squirrel.exe,N/A,N/A
01/14/22 07:04:30,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.030.0211.0002\OneDriveUpdaterService.exe,N/A,N/A
08/17/21 15:08:46,N/A,C:\Users\nuri_\AppData\Local\SquirrelTemp\Update.exe,N/A,N/A
08/17/21 15:45:00,N/A,C:\Program Files (x86)\Teams Installer\Teams.exe,N/A,N/A
10/13/21 12:38:32,N/A,C:\WINDOWS\SysWOW64\runonce.exe,N/A,N/A
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\OneDrive.exe,N/A,N/A
04/09/21 13:53:54,N/A,C:\WINDOWS\TEMP\5DADA8FF-D422-4EE1-9B9C-FDAD1A655354\dismhost.exe,N/A,N/A
01/14/22 07:01:52,N/A,C:\Program Files\Microsoft Office\root\Office16\msoia.exe,N/A,N/A
01/14/22 07:04:30,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.030.0211.0002\FileCoAuth.exe,N/A,N/A
01/14/22 06:58:29,N/A,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,N/A,N/A
12/14/21 23:19:48,N/A,C:\WINDOWS\system32\WerFault.exe,N/A,N/A
01/14/22 07:04:30,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.030.0211.0002\FileSyncConfig.exe,N/A,N/A
01/14/22 06:59:46,N/A,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\OFFICE16\OLicenseHeartbeat.exe,N/A,N/A
04/09/21 13:54:12,N/A,C:\WINDOWS\SysWOW64\rundll32.exe,N/A,N/A
01/14/22 07:01:24,N/A,C:\Program Files\Microsoft Office\root\integration\Addons\OneDriveSetup.exe,N/A,N/A
12/07/19 09:10:02,N/A,C:\Windows\syswow64\MsiExec.exe,N/A,N/A
10/13/21 12:38:12,N/A,C:\WINDOWS\System32\wevtutil.exe,N/A,N/A
01/14/22 06:59:44,N/A,C:\Program Files\Microsoft Office\root\Office16\SETLANG.EXE,N/A,N/A
01/14/22 06:58:06,N/A,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,N/A,N/A
01/14/22 06:59:19,N/A,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,N/A,N/A
01/14/22 06:59:44,N/A,C:\Program Files\Microsoft Office\root\Office16\OcPubMgr.exe,N/A,N/A
01/14/22 06:59:47,N/A,C:\Program Files\Microsoft Office\root\Office16\msotd.exe,N/A,N/A
01/14/22 06:59:47,N/A,C:\Program Files\Microsoft Office\root\Office16\msoev.exe,N/A,N/A
01/14/22 06:58:38,N/A,C:\Program Files\Microsoft Office\root\Office16\MSACCESS.EXE,N/A,N/A
01/14/22 06:58:32,N/A,C:\Program Files\Microsoft Office\root\Office16\lync.exe,N/A,N/A
01/14/22 06:58:56,N/A,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,N/A,N/A
01/14/22 06:58:39,N/A,C:\Program Files\Microsoft Office\root\Client\AppVLP.exe,N/A,N/A
01/14/22 06:58:29,N/A,C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,N/A,N/A
01/14/22 06:58:26,N/A,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,N/A,N/A
01/14/22 06:58:04,N/A,C:\Program Files\Microsoft Office\root\Office16\MSPUB.EXE,N/A,N/A
12/07/19 09:09:44,N/A,C:\WINDOWS\system32\msiexec.exe,N/A,N/A
11/01/21 14:48:18,N/A,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe,N/A,N/A
01/14/22 06:58:42,N/A,C:\Program Files\Microsoft Office\root\integration\integrator.exe,N/A,N/A
12/09/21 15:10:56,N/A,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,N/A,N/A
12/09/21 15:10:56,N/A,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe,N/A,N/A
11/12/21 03:03:29,N/A,C:\Windows\System32\conhost.exe,N/A,N/A
01/14/22 06:55:21,N/A,C:\Users\nuri_\Downloads\OfficeSetup.exe,N/A,N/A
01/14/22 03:04:13,N/A,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy\Application,N/A,N/A
01/14/22 03:04:22,N/A,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_16001.14326.20674.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
04/09/21 13:53:09,N/A,C:\Windows\System32\UserAccountBroker.exe,N/A,N/A
10/13/21 12:38:00,N/A,C:\WINDOWS\system32\dmclient.exe,N/A,N/A
12/07/19 09:08:16,N/A,C:\Program Files\Windows Defender\NisSrv.exe,N/A,N/A
01/15/22 04:33:18,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta.exe,N/A,N/A
01/14/22 06:07:34,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Base.exe,N/A,N/A
01/14/22 06:04:29,N/A,C:\WINDOWS\system32\MpSigStub.exe,N/A,N/A
01/14/22 06:04:37,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Engine.exe,N/A,N/A
01/14/22 06:04:29,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\MpSigStub.exe,N/A,N/A
01/14/22 03:02:55,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,N/A,N/A
12/07/19 09:08:16,N/A,C:\Program Files\Windows Defender\MpCmdRun.exe,N/A,N/A
01/17/22 05:46:20,N/A,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\Application,N/A,N/A
04/09/21 13:54:21,N/A,C:\WINDOWS\system32\mmc.exe,N/A,N/A
04/09/21 13:54:07,N/A,C:\WINDOWS\SysWOW64\DllHost.exe,N/A,N/A
12/07/19 09:09:37,N/A,C:\WINDOWS\system32\CompMgmtLauncher.exe,N/A,N/A
04/09/21 13:53:54,N/A,C:\$WinREAgent\Scratch\59105ED8-1228-4916-B41D-EFF9E70B9CED\dismhost.exe,N/A,N/A
11/12/21 03:03:27,N/A,C:\WINDOWS\system32\MusNotificationUx.exe,N/A,N/A
11/12/21 03:03:27,N/A,C:\WINDOWS\system32\MusNotification.exe,N/A,N/A
04/09/21 13:53:10,N/A,C:\WINDOWS\system32\AppHostRegistrationVerifier.exe,N/A,N/A
01/17/22 06:02:42,N/A,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.46.32012.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:40,N/A,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2110.13110.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:34,N/A,C:\Program Files\WindowsApps\Microsoft.XboxApp_48.78.15001.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:33,N/A,C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.54.4001.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:32,N/A,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.21113.36.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:31,N/A,C:\Program Files\WindowsApps\Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
10/13/21 12:38:10,N/A,C:\WINDOWS\system32\ByteCodeGenerator.exe,N/A,N/A
01/17/22 06:02:30,N/A,C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_10.2101.28.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
01/17/22 06:02:27,N/A,C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe\Application,N/A,N/A
01/14/22 03:02:55,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\21.220.1024.0005\FileCoAuth.exe,N/A,N/A
01/14/22 03:03:42,N/A,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\Application,N/A,N/A
01/14/22 03:02:55,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\21.220.1024.0005\FileSyncConfig.exe,N/A,N/A
10/13/21 12:38:13,N/A,C:\WINDOWS\system32\SystemSettingsAdminFlows.exe,N/A,N/A
01/14/22 03:02:41,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,N/A,N/A
04/09/21 13:53:33,N/A,C:\WINDOWS\system32\ApplicationFrameHost.exe,N/A,N/A
11/12/21 03:03:49,N/A,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,N/A,N/A
01/13/22 07:48:48,N/A,C:\Program Files (x86)\Microsoft\Edge\Application\97.0.1072.62\identity_helper.exe,N/A,N/A
01/14/22 03:02:55,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\OneDrive.exe,N/A,N/A
01/14/22 03:02:31,N/A,C:\Users\nuri_\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,N/A,N/A
12/07/19 14:59:29,N/A,C:\Windows\SysWOW64\OneDriveSetup.exe,N/A,N/A
12/07/19 09:08:41,N/A,C:\Windows\System32\SecurityHealthSystray.exe,N/A,N/A
04/09/21 13:55:01,N/A,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,N/A,N/A
10/13/21 12:38:57,N/A,C:\Program Files\Windows NT\Accessories\wordpad.exe,N/A,N/A
04/09/21 13:54:55,N/A,C:\Program Files\Common Files\Microsoft Shared\Ink\mip.exe,N/A,N/A
04/09/21 13:55:00,N/A,C:\WINDOWS\system32\WFS.exe,N/A,N/A
04/09/21 13:54:22,N/A,C:\WINDOWS\system32\SnippingTool.exe,N/A,N/A
12/14/21 23:20:04,N/A,C:\WINDOWS\system32\quickassist.exe,N/A,N/A
